"U1","U2","group"
6.31136125906345,0.804528449967986,1
-14.1026521267093,-1.17190399269711,7
5.10686678274509,1.00868961711276,1
3.11752385481235,1.52854583163608,3
6.31341976507541,2.23668978114474,8
5.72405714376804,6.37360236544955,6
-12.3175206722415,2.23124978442538,4
5.09670824392673,1.28557608027805,3
0.250375991901124,-13.7911405811752,2
-13.9188428463137,-0.467769796654099,7
7.39504427297946,2.52350733180392,8
-8.47076087609891,1.96347997088779,10
-12.4519277156985,-0.81845435003888,7
5.02282900198337,1.83921120066989,1
-12.7167544902957,-0.456438834473008,7
5.47785896643039,0.786154006913787,1
-0.343078659633433,-14.1449709186996,2
5.46710581167575,1.98929760356296,3
0.646465247710908,-12.6120949039901,2
4.09526390417453,2.78341457743991,3
-0.520568573633468,-13.9364357243026,2
-13.2229905666507,0.0905064394031824,7
-14.3549981655276,-0.279038528605813,7
4.94836372717258,1.01220784087527,1
0.374495690902436,-13.327676797911,2
-0.569358372846877,-13.903718973204,2
-12.4287934841311,2.0213422526871,4
4.45589441641208,1.82610425849307,3
5.39461893423435,1.17137489219058,1
6.54331726415988,2.26388475795138,8
5.85325664862033,4.90807340045322,6
-13.4105201305545,-0.323894913002366,7
6.02168459280368,8.07221791644443,5
-13.5071416439212,0.830093954995757,7
-12.4958434642947,-0.282967160149926,7
-12.2821012081302,0.0235190441166223,7
-12.4052939953006,0.626998280480987,7
5.616496509155,7.55336329837192,5
-8.47069316522244,1.96333286662448,10
7.41606468542453,2.43754575152743,8
0.634286230643953,-12.7438917408432,2
-12.3518882335818,0.909033690885192,7
6.46457428320285,3.2684559573685,6
0.177451079925263,-13.1347484837021,2
6.56111187322971,1.21733329196323,1
-10.6405044140017,-1.36578216652524,9
5.20122522695895,1.35808143515933,1
3.73344678266879,2.13823244471896,3
0.257994836410249,-13.8643465290512,2
0.253465658267701,-13.2771845112289,2
4.89128965719577,7.60525462527621,5
-12.4207959713137,-0.766233171030396,7
4.51494736059543,2.67734143634189,3
3.99200243337985,2.89409015078891,3
6.59654850347873,3.43170997996677,6
5.80722231253024,7.49745843310702,5
-0.269017662639057,-13.9446172962631,2
-14.6308913768924,-0.505389238401765,7
-13.3728290142215,-0.240164826318139,7
7.07474369390842,1.97747371096957,8
4.7690696178281,1.63321838279117,3
-12.4875016750491,1.99544713397372,4
4.7763504443967,0.741940831140167,1
0.611000841697419,-12.8081112156357,2
5.55270428045627,6.55328652758945,6
5.87933296545383,1.04564270873416,1
6.37325519903537,0.965701674417144,1
5.90829653128024,8.0652875651871,5
5.61640781744357,7.91503903766025,5
-12.9055743755496,1.36545596022952,4
-13.0731607021487,-0.526366973921174,7
0.43786633594867,-14.2038574467148,2
3.83799690588352,1.86884519954074,3
3.64477986677524,1.84336743255008,3
6.01661533697482,1.31925532718051,1
4.87422031744357,3.09797570605624,3
5.48458904608127,6.41383645434726,6
7.34305090292331,2.56830069918979,8
6.07518572195407,4.47585532565463,6
-13.8859220089114,-1.08392396072995,7
0.43716335876819,-14.0464954624618,2
0.132014012178147,-13.5791321049179,2
3.85025877340671,1.23925981421817,3
4.68622917517062,2.51418588061679,3
4.70057577474948,2.30467221637118,3
0.249957984527314,-14.2036619434799,2
3.89129061087009,2.31848547358859,3
-13.0368657650149,-0.224604631468171,7
4.37665171011325,1.50382552047122,3
-13.5397944988406,-0.905641163393372,7
-12.1665540279544,0.592501257852203,7
1.01646715982791,-2.9895572910751,5
-13.8313661159671,-0.496468241020554,7
-0.131588974753653,-13.6324653873886,2
-10.899447971741,-1.18274500469815,9
6.44577307089206,1.8843337049042,8
-12.4547572673953,1.74259242911685,4
5.78830046041843,7.97919175525058,5
3.63822526319858,2.2001855124985,3
5.78817314489719,6.01310870547641,6
5.88114113195773,1.66424999137271,1
6.37248463018771,0.910529529050475,1
5.78018326147434,5.11282489199985,6
-14.2674317897952,-0.857110882803315,7
5.78864092214938,7.76785800357211,5
-0.338558131614959,-13.9211292515243,2
-12.207007938782,0.65523013968814,7
6.61565727575656,1.31503698726047,1
5.6837400852048,4.28508469958652,6
-13.7038779796756,-0.846175457044953,7
4.47275108679172,2.20393202205051,3
5.72416490896579,1.91483888526309,1
5.01780504568454,0.648994361356384,1
6.25156301840183,0.612902735665923,1
5.25077242239353,5.22832248111118,5
4.60461658819553,1.6626677264725,3
5.37886852606174,5.60465190310825,6
6.52540439947482,1.33259413142551,1
5.87989324911472,0.544734870389587,1
0.150058543523515,-13.1763735065902,2
-14.7241988720096,-0.623779977365845,7
3.68090791090366,2.18879673381198,3
-13.0018163265384,-0.706786895796174,7
-13.3856368602908,-0.451726997896546,7
7.04852432592746,2.33403799434054,8
5.28586191519138,0.473664795354492,1
5.97540706976291,1.73151132960666,1
5.70586962087985,4.95484874148715,6
-12.4398465694583,1.76473936934817,4
0.323056763251985,-13.0737447987045,2
5.64594311102268,4.94044062991489,6
5.89756960256931,8.21102616687167,5
5.94681162222263,7.99557206530917,5
5.84046263082858,6.06627461810458,6
0.228907054504121,-13.2620945225204,2
-13.9240413250125,-0.888510669275635,7
6.49789518698093,1.29944500823367,1
6.62027258261081,1.04011807341922,1
6.03562874182102,3.30083677668918,6
-10.9343362392581,-1.15671446423184,9
-12.2692027630008,1.96969864268649,4
4.0981974063718,2.69364879031528,1
3.04873532636997,1.40092775721896,3
6.06978506430026,7.7154922236954,5
6.3962177692258,0.92968950171817,1
-0.0214096100724095,-14.2850981007065,2
0.653622037013734,-13.1863851795639,2
-12.4919028820193,-0.771424795194977,7
5.3851675449216,3.49447009463657,6
-13.4451079906619,0.924228881791717,4
-12.7212024273074,-0.190251107021683,7
6.2464489398801,0.653358613446838,1
7.3915733753049,2.22820827861179,8
7.41412586553928,2.57796714206088,8
6.76434845312473,1.75142595668185,1
-12.7185454906619,0.207168852285034,7
0.105140334209169,-14.3249330769027,2
5.8945292888486,2.66693923373569,8
-13.6447463573611,-0.747280980154389,7
5.65779060705539,8.18502042193759,5
0.356268113692964,-14.3027115116562,2
3.96240991934177,1.55062076945651,3
6.56778807028171,1.54967996974338,1
3.95902103765842,2.25688788791049,3
5.67253584249851,5.90436313052524,6
4.75426668508884,0.969345425561553,3
7.40060705526706,2.23510882754672,8
6.35952419622775,1.03408512969363,1
-13.7631307186282,-1.33239569763791,7
-12.7538219036258,-0.777184392019623,7
5.12725490911838,0.966166471437103,1
5.71226829870578,4.73446319003452,6
4.7253627239072,2.5633151282822,3
0.257410651286805,-14.3179178486313,2
-12.3203654827273,-0.421367103859299,7
-12.8582282604373,1.32040593524326,4
5.75527281149265,5.85821721454013,6
5.36780447347995,1.57823369403232,1
0.446217483123506,-14.2932176838363,2
0.207265591462815,-14.2478828678573,2
6.28844827993747,1.63014540572513,1
-13.2917342724002,-0.0590069076712071,7
0.532142466148103,-13.3196497211899,2
4.6455172954404,0.960741256669647,1
-12.1311536373294,0.39838222165454,7
1.01671869142886,-2.98907878498685,5
-12.4476523937381,2.02646443744052,4
6.34157556875583,2.42855355639804,8
4.54326719625827,0.913670693830139,3
5.31404680593845,2.14590332408298,3
5.90182203634616,4.77503154178012,6
0.406389421066011,-13.8208675632919,2
5.8684291301572,7.74020335574496,5
4.90670151098605,2.56606266398776,8
0.427095657428468,-12.8579006443466,2
5.63296980245944,5.77842566867221,6
-12.1951375545657,-0.112859273954743,7
-13.3179088176883,-0.387325639530533,7
0.0719169734322673,-14.3341875324691,2
0.091965770562852,-13.9418888340439,2
-12.4900222362674,1.82555792231906,4
5.37907070501682,1.07695648570407,1
-13.8370318950808,-0.419848735138291,7
-12.7571654857791,-1.00170716147076,7
5.90710491522189,7.99048612017978,5
5.07063955648776,0.747262989476806,1
6.97740501745578,1.45277914901126,1
5.30902284963962,1.01387736697543,1
4.54964489324924,1.53335485358585,3
-10.6804414333499,-1.33207037548673,9
5.53101343496677,2.20880291362155,1
3.7990235744321,1.44934353728641,3
0.515357202132905,-13.0558109531845,2
-12.4616952480471,-0.86743762592923,7
3.90521807058688,2.336369251207,3
-12.471095615784,-0.60306116442334,7
5.60706657751437,5.29145715136874,6
-12.5783410610354,1.68297908206332,4
5.08335871084567,2.0106274833237,3
5.76380485876437,5.89842412371982,6
3.69772929533359,1.74639937777866,3
6.13485235556003,1.40115961928714,1
