1427,306,2436,1440,2189,1023,627,1197,2247,758
1781,2221,2590,2377,2657,822,997,603,936,2448
1793,707,1872,569,1369,475,1885,1215,1274,294
2694,2216,1193,2181,2696,1,110,1783,2397,1849
2601,1803,1302,179,2328,1318,728,12,1793,584
1085,2297,96,2462,1989,694,2271,1578,1788,1781
2628,438,396,130,2168,1415,2455,34,1924,1122
2381,2443,1145,1118,924,52,485,2514,212,826
1553,442,1481,772,1024,234,1737,303,1215,1131
25,2469,2271,1987,284,2463,2357,1129,1443,795
1591,1310,120,1618,603,2275,695,2401,2134,74
2135,2244,1485,1432,1542,1007,817,1182,1074,774
2166,1391,2038,1787,1856,1725,356,684,1565,1472
135,1235,45,2373,193,1262,799,2597,968,1119
1410,2535,1428,665,755,1392,128,2674,32,1156
1891,2359,2689,1426,1251,2475,522,560,1844,2557
1458,847,2537,274,1547,1264,28,1211,635,2103
373,1293,1261,204,1300,161,970,1345,2054,1178
390,212,1145,485,9,2607,2514,583,263,1547
388,1408,1602,480,1669,1100,391,746,670,2592
1605,809,1969,1635,1805,2592,952,480,1552,437
1805,2270,2311,1969,1317,2390,1868,1133,1138,1690
1631,2512,2026,64,2323,1980,796,1278,2571,1257
1624,252,643,2087,1817,2017,759,557,1772,2537
2259,755,251,676,1196,1238,2234,407,1174,2573
942,1224,1,1849,1534,645,10,2269,1135,2622
1969,2251,2380,2375,1133,952,1805,1090,466,1635
473,300,1256,2190,1590,2056,2515,32,2674,2021
2357,1932,778,164,2682,1068,2545,25,1228,2295
489,2446,1366,773,1945,700,1126,1119,1379,1716
112,2591,450,1378,1544,1517,1783,781,2528,1490
1050,1113,2189,307,71,1260,1283,1119,1273,481
2578,1663,499,1222,545,1704,170,1396,1840,1302
2331,1494,1243,582,697,432,585,1673,1052,2214
375,1847,666,2467,1340,2357,2295,370,2682,654
572,856,2255,592,1962,1265,2149,1292,41,1711
2076,388,746,1106,2106,2667,1206,2568,1700,1353
1169,1171,1492,2417,1405,1357,2414,2456,1480,1334
766,922,534,258,179,1793,2077,1318,1215,5
1590,2190,2546,32,1089,2032,14,283,1500,2184
993,1696,1941,1631,146,1533,880,862,4,1178
184,2348,2462,822,1708,1752,2303,997,467,2154
826,2424,52,1145,875,390,1698,2514,1680,1071
2519,2123,1002,1627,94,34,721,1001,1853,1950
